,Species,Temp.Est,Temp.P,Temp.R2,Elev.Est,Elev.P,Elev.R2,Precip.Est,Precip.P,Precip.R2,EVI.Est,EVI.P,EVI.R2,Euc.dist.Est,Euc.dist.P,Euc.dist.R2,Multi.Est,Multi.P,Multi.R2,Common.Name,Code
1,2890,-0.122130271,0.001699184,0.035243703,-0.043257257,0.150324361,0.007508827,0.022376825,0.524218197,0.001476452,-0.063280446,0.05930286,0.012873654,-0.034414532,0.041512147,0.015022516,-0.033300276,0.065274955,0.469595629,Northern Bobwhite,NOBO
2,3120,-0.308178786,0.002321689,0.277668599,-0.253045881,0.010557856,0.204910517,0.192991218,0.055355557,0.120828273,0.067342858,0.599393859,0.009632769,-0.022320966,0.178968458,0.06139331,-0.006058258,0.711582426,0.321816531,Band-tailed Pigeon,BTPI
3,3160,-0.053009779,4.92E-06,0.047862794,-0.04561274,1.00E-07,0.064498592,-0.011040278,0.343517378,0.002106496,0.004565765,0.691321792,0.000370456,-0.007046478,0.010580212,0.015239867,0.006574515,0.046548953,0.235134683,Mourning Dove,MODO
4,3180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White-tipped Dove,WTDO
5,3190,0.112381257,0.341450998,0.031248533,-0.053020266,0.645467558,0.007398026,0.164641174,0.378248996,0.026868746,0.063073761,0.640164459,0.007637043,0.012902563,0.6658123,0.006522819,0.015338741,0.513897328,0.610316401,White-winged Dove,WWDO
6,3200,-0.032470611,0.76849023,0.002036416,-0.055334921,0.326501791,0.022395644,-0.102576896,0.204153454,0.037224489,-0.184178019,0.037621991,0.096679341,-0.020433753,0.687592323,0.003797299,-0.001783545,0.98195592,0.296250273,Common Ground-Dove,COGD
7,3210,0.04957772,0.700158852,0.010917765,0.042118279,0.648532347,0.015260414,-0.317355397,0.014586656,0.356611639,-0.337126813,0.002226356,0.498861976,-0.006448087,0.788547267,0.005310265,-0.023096654,0.475453352,-0.251683303,Inca Dove,INDO
8,3830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smooth-billed Ani,SBAN
9,3840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Groove-billed Ani,GBAN
10,3850,0.041018491,0.567293027,0.008924292,-0.036541358,0.679212915,0.004673872,-0.107405582,0.231917127,0.038390696,-0.061451352,0.465110931,0.014510363,0.008724837,0.748452025,0.002813198,-0.012557045,0.619581447,0.44582673,Greater Roadrunner,GRRO
11,3870,-0.172567505,9.40E-08,0.085831344,-0.08460883,0.000412969,0.038521878,-0.061930184,0.033499174,0.014135584,-0.101832434,0.000202121,0.0425672,-0.048585153,0.000749016,0.035157435,-0.035232321,0.019006086,0.437110445,Yellow-billed Cuckoo,YBCU
12,3880,-0.064764492,0.002456234,0.0390139,-0.049178613,0.000910731,0.046604295,0.02735728,0.147346611,0.009067099,-0.008007055,0.651976244,0.000882115,-0.003156285,0.721654505,0.000550446,0.007580325,0.455154005,0.335013746,Black-billed Cuckoo,BBCU
13,3930,-0.021729224,0.319384497,0.002701567,-0.011245102,0.447077104,0.001575976,-0.028096527,0.127268322,0.006325092,-0.005149852,0.791250707,0.000191139,-0.001102237,0.558408917,0.000933987,-0.001499754,0.407376175,0.21297207,Hairy Woodpecker,HAWO
14,3940,-0.084624843,0.00051272,0.031059771,-0.163637256,1.36E-28,0.275064581,-0.201513962,6.65E-25,0.242438398,-0.128625156,2.38E-09,0.088954211,-0.042046602,1.23E-14,0.14404313,0.000328225,0.952182828,0.444914989,Downy Woodpecker,DOWO
15,3950,-0.169047899,0.254101532,0.14155928,-0.161376457,0.261800863,0.137381019,0.184667369,0.175716432,0.19354705,-0.182704325,0.23164253,0.154559708,0.648645788,0.000285666,0.784478576,0.539811858,0.000850172,0.917374821,Red-cockaded Woodpecker,RCWO
16,3960,-0.093304145,0.409285069,0.02979901,-0.124551124,0.283657874,0.049788428,-0.056867143,0.517204819,0.018464981,-0.061671488,0.562242729,0.014811168,-0.081039812,0.049056512,0.158066928,-0.071615709,0.145267406,0.014995697,Ladder-backed Woodpecker,LBWO
17,3970,-0.509246899,0.000827108,0.620108185,-0.161465995,0.086526846,0.225075119,-0.53458289,0.012437766,0.418233232,-0.120259946,0.538563506,0.032319094,-0.350602759,0.04652989,0.290928658,-0.235399608,0.230772646,0.250743529,Nuttall's Woodpecker,NUWO
18,3990,0.405331704,0.465601404,0.18811868,-0.107777793,0.73427915,0.044207696,0.689674789,0.372480781,0.267179055,-0.347542783,0.395429572,0.246006254,-0.133212752,0.5900035,0.107577415,-0.109168066,NA,NA,White-headed Woodpecker,WHWO
19,4000,0.019052784,0.866004296,0.002988402,0.147478985,0.351307063,0.087240891,0.147188028,0.216603497,0.14817636,0.257520078,0.023968229,0.41406279,0.036642062,0.032193702,0.382017083,0.051848743,0.135109908,0.408556456,Black-backed Woodpecker,BBWO
20,4020,-0.019498839,0.762118923,0.001023225,0.005342296,0.940448845,6.24E-05,0.003869817,0.957826021,3.12E-05,0.072539185,0.250743471,0.014630764,-0.037601225,0.376645504,0.008695014,-0.051636069,0.115578442,0.4377398,Yellow-bellied Sapsucker,YBSA
21,4021,0.0340778,0.651356377,0.006896888,0.157826297,0.039656455,0.133614858,-0.084335067,0.203117639,0.053417204,-0.078244432,0.372359629,0.026610064,0.000754691,0.970667271,4.58E-05,-0.011565819,0.554711789,0.203383823,Red-naped Sapsucker,RNSA
22,4030,-0.058851671,0.607251818,0.013452386,0.066578092,0.591826636,0.014630245,-0.205119335,0.084526226,0.141439147,-0.218952924,0.04833353,0.181076629,-0.040255723,0.076736775,0.148319115,-0.035680746,0.197603723,0.100370683,Red-breasted Sapsucker,RBSA
23,4040,0.034903105,0.658786286,0.018378286,0.103245766,0.357640447,0.077317846,-0.108135522,0.184744847,0.153993415,-0.067136759,0.45482618,0.051741944,-0.012648997,0.639802215,0.020616528,-0.021745057,0.23218868,0.599601431,Williamson's Sapsucker,WISA
24,4050,0.114295325,5.68E-05,0.051499313,-0.034459157,0.075211276,0.010274587,-0.028332568,0.208989428,0.00513655,-0.006035527,0.804592669,0.000199688,-0.016167194,0.075570037,0.010249499,-0.007535354,0.490510741,0.156099318,Pileated Woodpecker,PIWO
25,4060,-0.021693667,0.554028918,0.00139682,-0.087444028,0.000528394,0.046822736,-0.02009709,0.557995706,0.001369065,-0.137030196,5.39E-06,0.079286023,-0.028569429,0.055585375,0.014521956,-0.018141377,0.322475901,0.169625022,Red-headed Woodpecker,RHWO
26,4070,-0.265078503,0.102484176,0.111707208,-0.35328433,0.018000875,0.22006016,-0.350114059,0.036827597,0.176002809,-0.303124283,0.056207294,0.149517736,-0.077515865,0.030978551,0.186753621,-0.045588073,0.279346239,0.223988988,Acorn Woodpecker,ACWO
27,4080,-0.043496124,0.146350852,0.093431612,-0.005362794,0.866192069,0.001319296,-0.030570514,0.239100831,0.062402423,-0.023120705,0.495123724,0.021406054,-0.006184085,0.289920735,0.050740638,-0.005928273,0.363340166,-0.081838975,Lewis's Woodpecker,LEWO
28,4090,-0.129990419,7.18E-05,0.053711228,-0.089692557,0.006517512,0.025590871,-0.023487611,0.453534342,0.001965851,-0.055758812,0.042005424,0.014378882,-0.055080976,0.024222082,0.017631295,-0.036154765,0.049448263,0.507653711,Red-bellied Woodpecker,RBWO
29,4100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golden-fronted Woodpecker,GFWO
30,4110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gila Woodpecker,GIWO
31,4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gilded Flicker,GIFL
32,4220,0.087198139,0.221791545,0.204395929,0.089219219,0.009825465,0.638019986,-0.053651171,0.578533978,0.046223696,-0.082020902,0.265571867,0.172962786,-0.027261813,0.619742444,0.037058046,-0.047539377,0.371907787,0.459969401,Black Swift,BLSW
33,4230,-0.149525301,5.77E-11,0.124181233,-0.095296336,1.91E-05,0.05492914,-0.092854582,9.14E-06,0.059030942,-0.061984054,0.001632458,0.030207392,-0.047186079,0.002283401,0.028358214,-0.014501314,0.358829709,0.222201938,Chimney Swift,CHSW
34,4240,-0.132429913,0.063328295,0.154720506,-0.044144579,0.593682079,0.013784025,0.06908273,0.351017218,0.041525065,-0.007793861,0.922580786,0.000460469,-0.015980124,0.364450228,0.039313142,-0.012371439,0.482827436,0.361514266,Vaux's Swift,VASW
35,4250,-0.119836822,0.179116609,0.05933696,-0.024041849,0.789772467,0.002406198,-0.033978389,0.640719323,0.007354824,-0.069493886,0.44427281,0.019639211,-0.007324036,0.686649409,0.005500476,-0.001970643,0.928424725,-0.167556545,White-throated Swift,WTSW
36,4280,-0.028399622,0.181130913,0.005874987,0.01116321,0.613997075,0.000837853,-0.025188992,0.182701839,0.005833019,-0.009139946,0.599482044,0.000908244,-0.008633503,0.557646962,0.001132124,-0.00124039,0.933675481,0.068895858,Ruby-throated Hummingbird,RTHU
37,4290,-0.069864109,0.35590627,0.024398066,0.044602386,0.576968113,0.008977597,0.035855788,0.604590594,0.007740809,-0.139193711,0.126346738,0.065479251,0.001850847,0.898778163,0.000468858,0.001695345,0.920074752,-0.004603245,Black-chinned Hummingbird,BCHU
38,4310,-0.416838355,0.00027265,0.404914872,-0.215712089,0.041932989,0.149726123,-0.292520362,0.031564116,0.165704134,-0.220524979,0.086770331,0.108622658,-0.070571471,0.064156396,0.12568876,-0.070126606,0.11136201,0.001020474,Anna's Hummingbird,ANHU
39,4320,0.038290672,0.787980634,0.003357392,0.233132286,0.094566584,0.121839655,0.174678137,0.201236399,0.073127643,-0.117868633,0.43888119,0.027476473,0.026226136,0.54189954,0.017149733,-0.03333418,0.424339309,0.278723352,Broad-tailed Hummingbird,BTLH
40,4330,-0.079557288,0.696859537,0.007749672,-0.377312803,0.015546858,0.259096607,0.185815674,0.275332306,0.05917392,0.149106932,0.329243392,0.047621581,-0.025649344,0.483747377,0.024825935,-0.037575608,0.12713953,0.59754901,Rufous Hummingbird,RUHU
41,4340,-0.287667367,0.32166291,0.194694411,-0.039593011,0.761445232,0.020148678,0.035163361,0.892577907,0.004020093,-0.090972569,0.762716921,0.019930058,0.041341661,0.527360546,0.084395913,0.013557407,0.939028983,0.057185547,Allen's Hummingbird,ALHU
42,4360,-0.048542882,0.444314464,0.034821377,-0.003881463,0.961642317,0.000140103,0.00855228,0.895371211,0.001047156,-0.119155342,0.101382225,0.149988426,0.005690939,0.832735494,0.002698316,-0.036877246,0.262016627,0.032847707,Calliope Hummingbird,CAHU
43,4430,0.192520352,0.102915934,0.066742218,-0.139669125,0.109589791,0.064324372,-0.216871321,0.0467154,0.097623128,-0.172186118,0.147867192,0.052932438,-0.060786318,0.024698698,0.12278789,-0.103271817,0.013001887,0.33080527,Scissor-tailed Flycatcher,STFL
44,4440,-0.104008906,0.000139282,0.038512796,-0.150050381,1.27E-17,0.179351915,-0.110839898,8.81E-06,0.052057362,-0.13753824,9.49E-09,0.085294027,-0.036558281,9.59E-09,0.085245246,0.016353368,0.042744509,0.255031665,Eastern Kingbird,EAKI
45,4450,0.148863172,0.393371689,0.247857274,0.02369555,0.001224985,0.979810423,0.251312458,0.226463175,0.434209297,-0.037961348,0.759629352,0.036075273,-0.119999822,0.802033048,0.02437327,-0.087589801,NA,NA,Gray Kingbird,GRAK
46,4460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical Kingbird,TRKI
47,4461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Couch's Kingbird,COKI
48,4470,0.044243243,0.461337349,0.004493133,-0.172704471,0.013217193,0.049675142,-0.193042335,3.25E-05,0.133482733,-0.287881995,4.48E-06,0.160253415,-0.019246335,0.171722575,0.015381022,-0.000927127,0.945422593,0.242470724,Western Kingbird,WEKI
49,4480,-0.262894241,0.07302729,0.17682046,-0.019406717,0.903415743,0.00089163,-0.047379435,0.754275845,0.005917371,-0.234832301,0.176633713,0.10467485,-0.022191856,0.835088072,0.002621948,0.065214563,0.481306833,0.44194691,Cassin's Kingbird,CAKI
50,4490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Great Kiskadee,GKIS
51,4520,-0.016817616,0.432005382,0.001906758,-0.080591039,0.000312288,0.039374281,0.005804807,0.766744808,0.000271965,-0.02475667,0.165381521,0.005930762,-0.000871086,0.795035403,0.000208585,0.000583769,0.85559356,0.089317832,Great Crested Flycatcher,GCFL
52,4530,-0.082560529,0.822961371,0.0109956,0.168825599,0.629467772,0.050097951,-0.372304669,0.14961677,0.366654188,-0.215623528,0.573049834,0.067711274,-0.062247905,0.807857713,0.012977516,-0.058438687,0.552698462,0.993112276,Brown-crested Flycatcher,BCFL
53,4540,-0.171801735,0.04079462,0.076603541,-0.059911938,0.578700073,0.005855655,0.018684809,0.811202505,0.001086241,-0.020041611,0.822137294,0.000962038,-0.023464182,0.242991272,0.025629019,-0.026922467,0.215494742,0.073434023,Ash-throated Flycatcher,ATFL
54,4560,-0.139906433,6.36E-06,0.065768247,-0.102069145,8.87E-05,0.050004565,-0.148560607,3.31E-08,0.096868839,-0.077395513,0.002653839,0.029704575,-0.052568907,0.015771692,0.019271409,-0.051240622,0.00849994,0.377944978,Eastern Phoebe,EAPH
55,4570,-0.044947305,0.511442756,0.006366325,-0.016642346,0.785892644,0.001092597,-0.059213399,0.301182069,0.015711025,-0.085351289,0.199185338,0.024123053,-0.002898057,0.869707903,0.000398512,-0.006648586,0.713160528,0.059636816,Say's Phoebe,SAPH
56,4580,-0.295723874,0.014727325,0.200975769,-0.445013779,0.00207558,0.300596268,-0.147063084,0.303283101,0.039190521,-0.128604803,0.302488095,0.039317033,-0.062865537,0.10539847,0.094172596,-0.041634899,0.205930114,0.486136048,Black Phoebe,BLPH
57,4590,0.180803869,0.001329453,0.108713186,0.157099805,0.002527526,0.096879486,0.127209913,0.015895977,0.062896707,-0.135650022,0.036485998,0.047697333,0.030338706,0.004419411,0.086553202,-0.000905866,0.939789128,0.284717157,Olive-sided Flycatcher,OSFL
58,4610,-0.192388241,2.15E-16,0.194146304,-0.073775475,0.003278049,0.027287407,-0.157877195,2.05E-14,0.170676903,-0.06582941,0.001272741,0.032675321,-0.024231916,0.164038417,0.006177937,-0.010839811,0.503278829,0.182601635,Eastern Wood-Pewee,EAWP
59,4620,-0.13918139,0.033112311,0.051129469,0.084199546,0.224848284,0.016886094,-0.032432758,0.535339164,0.004432224,-0.034369647,0.613417291,0.002946217,0.017342282,0.201298786,0.018700213,-0.001892246,0.893648022,0.130627131,Western Wood-Pewee,WEWP
60,4630,0.014693578,0.845001517,0.001175176,0.029711696,0.693222948,0.004776222,-0.019675403,0.863778652,0.000905172,0.037111049,0.591803784,0.008807107,-0.058029581,0.42191813,0.019646703,-0.005485218,0.931195789,0.266431296,Yellow-bellied Flycatcher,YBFL
61,4640,0.143611039,0.208181208,0.067955575,0.205060573,0.067459509,0.138030134,-0.063958758,0.565461838,0.014570351,-0.009828915,0.934821475,0.000297127,0.018171923,0.535849985,0.016885991,0.014909695,0.630237257,0.046282105,Cordilleran Flycatcher,COFL
62,4641,-0.156082041,0.183590816,0.069610761,-0.111532087,0.350196622,0.034985992,0.043676619,0.698422989,0.006107186,0.101511746,0.490231562,0.019237181,-0.021216598,0.530250449,0.015945739,-0.029861446,0.429219194,0.110076974,Pacific-slope Flycatcher,PSFL
63,4650,-0.197657018,1.87E-06,0.103249052,0.120811105,0.003571032,0.039901111,-0.121010262,0.003185273,0.040859241,0.027132249,0.44901511,0.002745074,0.041783127,0.215493901,0.007330895,0.037868063,0.301849261,0.020561975,Acadian Flycatcher,ACFL
64,4660,-0.217635733,1.79E-11,0.158708998,-0.057913836,0.025684557,0.018852928,-0.006442819,0.832906364,0.000170198,-0.075256727,0.027630335,0.018379525,-0.004879255,0.533706855,0.001480081,0.001897413,0.852438985,0.054556485,Willow Flycatcher,WIFL
65,4661,0.043729456,0.43443175,0.00541585,-0.075258305,0.26051659,0.011190181,0.050540714,0.440512385,0.005274399,-0.053963412,0.258440143,0.011287594,-0.081997196,0.056963378,0.031696417,-0.089309003,0.00566235,0.475811554,Alder Flycatcher,ALFL
66,4670,-0.108829814,0.025857239,0.028213853,-0.154879588,5.70E-07,0.134248632,-0.031363414,0.528154867,0.002290965,-0.074287366,0.092849759,0.016146245,-0.055369064,0.00137977,0.057271245,-0.003050487,0.857155139,0.537147659,Least Flycatcher,LEFL
67,4680,0.204509334,0.096401974,0.095596974,-0.025747956,0.831374803,0.001647197,-0.064173869,0.580804347,0.011025339,0.064328605,0.62122664,0.008837218,0.000551652,0.978562087,2.63E-05,-0.015211649,0.486993632,0.035063664,Hammond's Flycatcher,HAFL
68,4690,0.042343614,0.619968385,0.006713991,0.035598114,0.696461083,0.004160216,-0.131843672,0.097229239,0.072572144,-0.139077121,0.17338058,0.049504872,-0.006276076,0.749010021,0.002800315,-0.021196286,0.385734627,0.203462018,Dusky Flycatcher,DUFL
69,4691,-0.124020118,0.25289931,0.080820384,-0.180227132,0.120119699,0.144192334,-0.129278748,0.175407022,0.111623819,-0.227943736,0.051360957,0.217018146,-0.042734418,0.042290387,0.23333708,-0.081091615,0.059379281,0.138384617,Gray Flycatcher,GRFL
70,4710,-0.227260436,0.311839828,0.101898259,-0.062039647,0.788178481,0.007559237,-0.108045754,0.597587553,0.028862775,-0.241658369,0.216909088,0.147994916,-0.060117516,0.349174077,0.087981307,-0.076114959,0.435093282,-0.312675411,Vermilion Flycatcher,VEFL
71,4740,0.002015373,0.95838679,9.71E-06,0.108944117,0.000483964,0.04248079,0.026054246,0.529923825,0.00140556,0.030213814,0.456633582,0.001973567,0.010812039,0.113071912,0.008911023,0.004515369,0.518461116,0.250069586,Horned Lark,HOLA
72,4750,-0.196726534,0.010283198,0.101532353,-0.135722631,0.079014994,0.04892276,-0.231177497,0.001437334,0.152220693,-0.077173824,0.376612216,0.012630108,0.000290072,0.984353243,6.25E-06,0.008233889,0.587728458,0.15799475,Black-billed Magpie,BBMA
73,4760,0.002336921,0.840923738,0.006160396,-0.017466673,0.077574916,0.378988449,-0.01451336,0.241034373,0.189878372,0.017082809,0.096121715,0.345307579,-0.021101647,0.077621177,0.378896474,-0.014075846,0.230466574,0.577275029,Yellow-billed Magpie,YBMA
74,4770,-0.02008823,0.196436658,0.004946619,-0.130398483,1.81E-30,0.323702947,-0.128024216,1.82E-23,0.256302021,-0.098388249,1.14E-14,0.162416713,-0.070432705,3.10E-23,0.253967827,-0.017826206,0.009051098,0.534717262,Blue Jay,BLJA
75,4780,-0.028376891,0.777834703,0.001828181,0.009367727,0.929651781,0.000179142,0.109747017,0.221019598,0.033841491,0.076982594,0.516929199,0.009608349,-0.001083808,0.948838704,9.46E-05,-0.014300645,0.351995856,0.293030891,Steller's Jay,STJA
76,4790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida Scrub-Jay,FLSJ
77,4810,-0.198046706,0.049626762,0.095239738,-0.075105928,0.55133366,0.009175823,0.0632033,0.5281441,0.010282436,0.014664031,0.883929931,0.00055338,-0.003776873,0.808539731,0.001523753,0.01364808,0.424562786,0.132871867,Western Scrub-Jay,WESJ
78,4830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Jay,GREJ
79,4840,-0.067220202,0.284630485,0.036833514,0.045523789,0.571405427,0.010446333,0.003871569,0.94971842,0.000130355,-0.02254136,0.785992767,0.002413862,0.021457409,0.173745479,0.058850482,0.015406061,0.42907371,0.08459302,Gray Jay,GRAJ
80,4860,0.096397258,0.009524792,0.033968069,0.142419679,0.000217555,0.067883198,0.064552187,0.109318737,0.013096146,-0.043610516,0.3789455,0.003972125,0.009432511,0.321581739,0.005038668,-0.024863136,0.013775616,0.240609864,Common Raven,CORA
81,4870,-0.180182875,0.171517825,0.12919517,-0.057025813,0.665846238,0.013709897,-0.015574808,0.92050041,0.000737053,0.035074335,0.822466702,0.003719619,0.003134261,0.96077647,0.000179017,0.053242964,0.501517942,-0.229040849,Chihuahuan Raven,CHRA
82,4880,-0.053581205,0.012349533,0.015207463,-0.184098758,5.04E-42,0.36341198,-0.164836841,1.20E-19,0.182349286,-0.164712013,8.84E-18,0.16518882,-0.052771057,3.95E-28,0.256243638,-0.012684508,0.016496304,0.463459678,American Crow,AMCR
83,4890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwestern Crow,NOCR
84,4900,0.072695054,0.202472316,0.013846823,-0.078660593,0.128490567,0.019638164,0.043609915,0.458719715,0.004701452,0.006268316,0.885805828,0.000177019,-0.087088095,0.056681216,0.030693768,0.03606786,0.443977108,0.224396113,Fish Crow,FICR
85,4910,-0.083889131,0.335820598,0.033116378,-0.067438873,0.50786534,0.015814697,0.03092584,0.721705908,0.004601824,-0.005967262,0.952974811,0.000126431,0.019070785,0.571098984,0.011597264,-0.012303152,0.762362032,0.010745454,Clark's Nutcracker,CLNU
86,4920,-0.036769813,0.821928816,0.002889145,0.012579538,0.932657205,0.000407785,-0.150686716,0.123681188,0.126575986,0.021466003,0.880825312,0.001283045,-0.031849513,0.088747345,0.152451821,-0.050085141,0.28364555,0.289014036,Pinyon Jay,PIJA
87,4930,-0.118536782,5.92E-11,0.096436943,-0.111054967,5.99E-18,0.161702508,-0.113346997,5.37E-12,0.106431905,-0.09052592,2.79E-07,0.060552929,-0.028668311,1.43E-12,0.111900097,-0.003520402,0.48878673,0.227553566,European Starling,EUST
88,4940,-0.216460452,2.61E-06,0.119509467,-0.094179011,0.00255706,0.051093214,-0.11833988,0.010334648,0.037193812,-0.080536334,0.051858226,0.021552825,-0.007576029,0.473619598,0.002955372,0.031601509,0.010738558,0.300150017,Bobolink,BOBO
89,4950,-0.130369014,2.37E-16,0.145588457,-0.056048536,3.34E-06,0.049294672,-0.054057379,0.000348524,0.029474341,-0.041125284,0.010271993,0.015290303,-0.00677429,0.019299153,0.012723493,-8.14E-05,0.980123144,0.081018999,Brown-headed Cowbird,BHCO
90,4960,0.101660512,0.72542613,0.014381784,0.158406374,0.603694886,0.031146491,-0.261712276,0.191247114,0.181596551,-0.203455692,0.481326575,0.056557202,-0.048462378,0.343078822,0.100140539,0.00019349,0.998202852,-0.51926152,Bronzed Cowbird,BROC
91,4970,-0.068059363,0.263266124,0.015618448,-0.172276079,0.066654907,0.041424377,-0.186349703,0.005384971,0.09282458,-0.220366253,0.006777071,0.088085553,-0.0320686,0.041514469,0.050918214,-0.008908155,0.582513981,0.272466834,Yellow-headed Blackbird,YHBL
92,4980,-0.044769084,0.003100046,0.020348534,-0.061930669,1.38E-08,0.072900948,-0.086346666,2.22E-10,0.090289883,-0.048044064,0.001047337,0.024929405,-0.019604845,7.04E-09,0.075762784,-0.002896206,0.515384331,0.149193937,Red-winged Blackbird,RWBL
93,5000,-0.001046227,0.993385038,5.49E-06,0.000562313,0.995577338,2.46E-06,0.030132201,0.815479432,0.004343674,0.009690386,0.931746128,0.000586208,-0.003564153,0.929874205,0.000618877,0.074800228,0.208597051,0.086298082,Tricolored Blackbird,TRBL
94,5010,-0.114359708,1.48E-05,0.055502749,-0.025507068,0.166239575,0.005817192,-0.056489309,0.016087197,0.017481014,-0.052076223,0.019436782,0.016488928,-0.002154203,0.804348939,0.000186791,0.010779556,0.406714414,0.113715093,Eastern Meadowlark,EAME
95,5011,-0.057405391,0.222236227,0.00831184,0.07562369,0.142449283,0.011979682,-0.09084962,0.088755823,0.016097451,-0.049300216,0.393483104,0.00407095,0.008079036,0.467782348,0.002949184,-0.00088499,0.938135812,0.241840625,Western Meadowlark,WEME
96,5040,-0.312729823,0.023424565,0.281750081,-0.425115568,0.002404707,0.447365083,-0.145825062,0.24701935,0.082765484,-0.125067209,0.341808121,0.05659525,-0.179055159,0.032191698,0.255936699,-0.176393646,0.026525793,0.451604537,Scott's Oriole,SCOR
97,5050,-0.004655868,0.950130211,0.000312634,0.009031503,0.877370488,0.001901425,-0.104424953,0.121412892,0.174400286,-0.022444008,0.729130985,0.009539149,-0.01567607,0.417594953,0.051159784,-0.039541838,0.201414525,-0.173172039,Hooded Oriole,HOOR
98,5060,-0.11689926,0.001132603,0.039127668,-0.041086759,0.160684216,0.007384163,0.029929493,0.350127987,0.003282703,-0.085265933,0.006243466,0.027775001,-0.032823808,0.05173911,0.0141519,0.020403297,0.310556865,0.224552459,Orchard Oriole,OROR
