"","sp","co","spArea","coArea","area_overlap"
"1","Sphyrapicus_ruber","Melanerpes_formicivorus","1000123.50197508","1503556.97443414","123861.897003097"
"2","Sphyrapicus_ruber","Dryobates_nuttallii","1000123.50197508","183838.803086181","59015.1389220412"
"3","Empidonax_traillii","Empidonax_alnorum","7306864.44299","7184573.63606488","1298200.17191832"
"4","Calypte_anna","Selasphorus_sasin","499565.219437764","31440.1948616306","31440.1190301776"
"5","Dendroica_caerulescens","Setophaga_ruticilla","1147825.66562745","7468329.47625163","1144074.12078978"
"6","Dendroica_caerulescens","Wilsonia_canadensis","1147825.66562745","2778071.5093701","998902.96381237"
"7","Dendroica_caerulescens","Dendroica_magnolia","1147825.66562745","3723833.14858862","1003823.72299043"
"8","Dendroica_magnolia","Setophaga_ruticilla","3723833.14858862","7468329.47625163","2901275.60697864"
"9","Dendroica_magnolia","Dendroica_caerulescens","3723833.14858862","1147825.66562745","1003823.72299042"
"10","Dendroica_magnolia","Wilsonia_canadensis","3723833.14858862","2778071.5093701","2549933.04327727"
"11","Wilsonia_canadensis","Setophaga_ruticilla","2778071.5093701","7468329.47625163","2255311.30533658"
"12","Wilsonia_canadensis","Dendroica_caerulescens","2778071.5093701","1147825.66562745","998902.963812372"
"13","Wilsonia_canadensis","Dendroica_magnolia","2778071.5093701","3723833.14858862","2549933.04327729"
"14","Tyrannus_vociferans","Myiarchus_cinerascens","1436464.42306362","3499142.41100036","1072396.98269765"
"15","Sayornis_saya","Myiarchus_cinerascens","7567465.47160796","3499142.41100036","2605019.9717526"
"16","Sayornis_saya","Tyrannus_verticalis","7567465.47160796","5134049.75263959","4173572.78014596"
"17","Chondestes_grammacus","Ammodramus_bairdii","5633306.05649123","830086.931430825","552734.614947159"
"18","Ammodramus_savannarum","Ammodramus_bairdii","5217422.3634511","830086.931430825","672257.043092644"
"19","Ammodramus_savannarum","Spizella_passerina","5217422.3634511","13395245.5750865","4471992.82333451"
"20","Tachycineta_thalassina","Hirundo_rustica","6110195.55754842","52168253.9103606","4918818.8828885"
"21","Tachycineta_thalassina","Stelgidopteryx_serripennis","6110195.55754842","10005664.6583418","3831412.81108296"
"22","Vermivora_peregrina","Dendroica_castanea","4841798.79960176","2702365.02228155","2613999.30533835"
"23","Vermivora_peregrina","Dendroica_virens","4841798.79960176","3323344.54537508","2382247.56145658"
"24","Vermivora_peregrina","Dendroica_fusca","4841798.79960176","2046866.85865659","1386282.52305753"
"25","Vermivora_peregrina","Dendroica_striata","4841798.79960176","6439953.99315026","3459032.67477364"
"26","Vermivora_peregrina","Dendroica_tigrina","4841798.79960176","2597215.17394992","2476211.05708542"
"27","Vermivora_peregrina","Dendroica_pensylvanica","4841798.79960176","2441176.29908871","1568500.04658396"
"28","Vermivora_peregrina","Geothlypis_trichas","4841798.79960176","12866759.2375821","3860584.1265835"
"29","Vermivora_peregrina","Oporornis_philadelphia","4841798.79960176","2728129.13802754","2051342.22030393"
"30","Vermivora_peregrina","Vermivora_ruficapilla","4841798.79960176","2791025.83495608","1732395.75250536"
"31","Vermivora_peregrina","Vermivora_celata","4841798.79960176","7846143.64808196","3830543.12178001"
"32","Vermivora_peregrina","Dendroica_townsendi","4841798.79960176","1406150.85982244","470535.688611919"
"33","Vermivora_peregrina","Wilsonia_pusilla","4841798.79960176","7993254.4402918","4080726.36223326"
"34","Vermivora_peregrina","Dendroica_coronata","4841798.79960176","10280159.9077172","4601282.89121291"
"35","Vermivora_peregrina","Dendroica_petechia","4841798.79960176","15523411.5295266","4840489.50032357"
"36","Dendroica_striata","Dendroica_castanea","6439953.99315026","2702365.02228155","1696015.09652656"
"37","Dendroica_striata","Dendroica_virens","6439953.99315026","3323344.54537508","1624718.05721981"
"38","Dendroica_striata","Dendroica_fusca","6439953.99315026","2046866.85865659","450062.644216783"
"39","Dendroica_striata","Dendroica_tigrina","6439953.99315026","2597215.17394992","1524234.71861372"
"40","Dendroica_striata","Dendroica_pensylvanica","6439953.99315026","2441176.29908871","569533.018944394"
"41","Dendroica_striata","Geothlypis_trichas","6439953.99315026","12866759.2375821","2892829.29753278"
"42","Dendroica_striata","Oporornis_philadelphia","6439953.99315026","2728129.13802754","1187563.35574523"
"43","Dendroica_striata","Vermivora_ruficapilla","6439953.99315026","2791025.83495608","774345.357531894"
"44","Dendroica_striata","Vermivora_celata","6439953.99315026","7846143.64808196","4462959.02642811"
"45","Dendroica_striata","Vermivora_peregrina","6439953.99315026","4841798.79960176","3459032.67477364"
"46","Dendroica_striata","Dendroica_townsendi","6439953.99315026","1406150.85982244","559190.788215582"
"47","Dendroica_striata","Wilsonia_pusilla","6439953.99315026","7993254.4402918","5624552.16166809"
"48","Dendroica_striata","Dendroica_coronata","6439953.99315026","10280159.9077172","5569609.00264234"
"49","Dendroica_striata","Dendroica_petechia","6439953.99315026","15523411.5295266","5933922.79708127"
"50","Vermivora_celata","Dendroica_castanea","7846143.64808196","2702365.02228155","1851633.18583517"
"51","Vermivora_celata","Dendroica_virens","7846143.64808196","3323344.54537508","1557148.45391859"
"52","Vermivora_celata","Dendroica_fusca","7846143.64808196","2046866.85865659","592316.059657806"
"53","Vermivora_celata","Dendroica_striata","7846143.64808196","6439953.99315026","4462959.02642809"
"54","Vermivora_celata","Dendroica_tigrina","7846143.64808196","2597215.17394992","1847695.79608235"
"55","Vermivora_celata","Dendroica_pensylvanica","7846143.64808196","2441176.29908871","822190.55383666"
"56","Vermivora_celata","Geothlypis_trichas","7846143.64808196","12866759.2375821","5464497.50373017"
"57","Vermivora_celata","Oporornis_philadelphia","7846143.64808196","2728129.13802754","1217579.40392596"
"58","Vermivora_celata","Vermivora_peregrina","7846143.64808196","4841798.79960176","3830543.12178"
"59","Vermivora_celata","Dendroica_townsendi","7846143.64808196","1406150.85982244","1348257.64104063"
"60","Vermivora_celata","Vermivora_virginiae","7846143.64808196","336864.696904857","234469.708433035"
"61","Vermivora_celata","Wilsonia_pusilla","7846143.64808196","7993254.4402918","5990068.3411872"
"62","Vermivora_celata","Dendroica_coronata","7846143.64808196","10280159.9077172","7415467.56412674"
"63","Vermivora_celata","Dendroica_petechia","7846143.64808196","15523411.5295266","7738363.8090018"
"64","Dendroica_tigrina","Dendroica_castanea","2597215.17394992","2702365.02228155","1922297.02653701"
"65","Dendroica_tigrina","Dendroica_virens","2597215.17394992","3323344.54537508","1821813.02616129"
"66","Dendroica_tigrina","Dendroica_fusca","2597215.17394992","2046866.85865659","1219230.30647935"
"67","Dendroica_tigrina","Dendroica_striata","2597215.17394992","6439953.99315026","1524234.71861372"
"68","Dendroica_tigrina","Dendroica_pensylvanica","2597215.17394992","2441176.29908871","1383611.53294467"
"69","Dendroica_tigrina","Geothlypis_trichas","2597215.17394992","12866759.2375821","2211797.86151392"
"70","Dendroica_tigrina","Oporornis_philadelphia","2597215.17394992","2728129.13802754","1783305.54877016"
"71","Dendroica_tigrina","Vermivora_ruficapilla","2597215.17394992","2791025.83495608","1408217.94936572"
"72","Dendroica_tigrina","Vermivora_celata","2597215.17394992","7846143.64808196","1847695.79608234"
"73","Dendroica_tigrina","Vermivora_peregrina","2597215.17394992","4841798.79960176","2476211.0570854"
"74","Dendroica_tigrina","Wilsonia_pusilla","2597215.17394992","7993254.4402918","2003883.90164626"
"75","Dendroica_tigrina","Dendroica_coronata","2597215.17394992","10280159.9077172","2549478.55551992"
"76","Dendroica_tigrina","Dendroica_petechia","2597215.17394992","15523411.5295266","2597155.1534152"
"77","Vermivora_ruficapilla","Dendroica_castanea","2791025.83495608","2702365.02228155","1667626.01488647"
"78","Vermivora_ruficapilla","Dendroica_virens","2791025.83495608","3323344.54537508","2082486.70280859"
"79","Vermivora_ruficapilla","Dendroica_fusca","2791025.83495608","2046866.85865659","1823665.40294309"
"80","Vermivora_ruficapilla","Dendroica_striata","2791025.83495608","6439953.99315026","774345.357531894"
"81","Vermivora_ruficapilla","Dendroica_tigrina","2791025.83495608","2597215.17394992","1408217.94936572"
"82","Vermivora_ruficapilla","Dendroica_pensylvanica","2791025.83495608","2441176.29908871","2038793.66561904"
"83","Vermivora_ruficapilla","Geothlypis_trichas","2791025.83495608","12866759.2375821","2762776.25416596"
"84","Vermivora_ruficapilla","Oporornis_philadelphia","2791025.83495608","2728129.13802754","1820167.27588541"
"85","Vermivora_ruficapilla","Vermivora_celata","2791025.83495608","7846143.64808196","1379804.20417703"
"86","Vermivora_ruficapilla","Vermivora_peregrina","2791025.83495608","4841798.79960176","1732395.75250536"
"87","Vermivora_ruficapilla","Dendroica_townsendi","2791025.83495608","1406150.85982244","309914.781621229"
"88","Vermivora_ruficapilla","Wilsonia_pusilla","2791025.83495608","7993254.4402918","1795870.63616207"
"89","Vermivora_ruficapilla","Dendroica_coronata","2791025.83495608","10280159.9077172","2631846.66469847"
"90","Vermivora_ruficapilla","Dendroica_petechia","2791025.83495608","15523411.5295266","2788386.45574078"
"91","Dendroica_fusca","Dendroica_castanea","2046866.85865659","2702365.02228155","1373230.62328747"
"92","Dendroica_fusca","Dendroica_virens","2046866.85865659","3323344.54537508","1849568.83626056"
"93","Dendroica_fusca","Dendroica_striata","2046866.85865659","6439953.99315026","450062.644216784"
"94","Dendroica_fusca","Dendroica_tigrina","2046866.85865659","2597215.17394992","1219230.30647935"
"95","Dendroica_fusca","Dendroica_pensylvanica","2046866.85865659","2441176.29908871","1918931.88360163"
"96","Dendroica_fusca","Geothlypis_trichas","2046866.85865659","12866759.2375821","2035894.84921907"
"97","Dendroica_fusca","Oporornis_philadelphia","2046866.85865659","2728129.13802754","1590465.83062522"
"98","Dendroica_fusca","Vermivora_ruficapilla","2046866.85865659","2791025.83495608","1823665.40294309"
"99","Dendroica_fusca","Vermivora_celata","2046866.85865659","7846143.64808196","592316.059657805"
"100","Dendroica_fusca","Vermivora_peregrina","2046866.85865659","4841798.79960176","1386282.52305753"
"101","Dendroica_fusca","Wilsonia_pusilla","2046866.85865659","7993254.4402918","1011096.90089257"
"102","Dendroica_fusca","Dendroica_coronata","2046866.85865659","10280159.9077172","1744928.33800687"
"103","Dendroica_fusca","Dendroica_petechia","2046866.85865659","15523411.5295266","2045562.88668764"
"104","Oporornis_philadelphia","Dendroica_castanea","2728129.13802754","2702365.02228155","1654631.38148903"
"105","Oporornis_philadelphia","Dendroica_virens","2728129.13802754","3323344.54537508","2223424.62468146"
"106","Oporornis_philadelphia","Dendroica_fusca","2728129.13802754","2046866.85865659","1590465.83062522"
"107","Oporornis_philadelphia","Dendroica_striata","2728129.13802754","6439953.99315026","1187563.35574523"
"108","Oporornis_philadelphia","Dendroica_tigrina","2728129.13802754","2597215.17394992","1783305.54877016"
"109","Oporornis_philadelphia","Dendroica_pensylvanica","2728129.13802754","2441176.29908871","1820393.27209887"
"110","Oporornis_philadelphia","Geothlypis_trichas","2728129.13802754","12866759.2375821","2659598.08600948"
"111","Oporornis_philadelphia","Vermivora_ruficapilla","2728129.13802754","2791025.83495608","1820167.27588541"
"112","Oporornis_philadelphia","Vermivora_celata","2728129.13802754","7846143.64808196","1217579.40392596"
"113","Oporornis_philadelphia","Vermivora_peregrina","2728129.13802754","4841798.79960176","2051342.22030393"
"114","Oporornis_philadelphia","Wilsonia_pusilla","2728129.13802754","7993254.4402918","1563175.55110023"
"115","Oporornis_philadelphia","Dendroica_coronata","2728129.13802754","10280159.9077172","2421236.80124591"
"116","Oporornis_philadelphia","Dendroica_petechia","2728129.13802754","15523411.5295266","2727928.25735271"
"117","Oreoscoptes_montanus","Toxostoma_bendirei","1997217.99378418","822803.582861889","264749.38566552"
"118","Oreoscoptes_montanus","Mimus_polyglottos","1997217.99378418","10150915.5226004","1929120.10896739"
"119","Mimus_polyglottos","Toxostoma_bendirei","10150915.5226004","822803.582861889","822803.147216865"
"120","Mimus_polyglottos","Toxostoma_rufum","10150915.5226004","5693489.65082359","5039250.68951967"
"121","Mimus_polyglottos","Toxostoma_redivivum","10150915.5226004","210489.200366976","210488.904647342"
"122","Mimus_polyglottos","Dumetella_carolinensis","10150915.5226004","6834017.92925531","6020316.06392644"
"123","Mimus_polyglottos","Lanius_ludovicianus","10150915.5226004","8858017.12959287","8305925.74327192"
"124","Mimus_polyglottos","Oreoscoptes_montanus","10150915.5226004","1997217.99378418","1929120.10896739"
"125","Salpinctes_obsoletus","Thryomanes_bewickii","5440177.15518729","3287758.30180143","2571750.45867227"
"126","Salpinctes_obsoletus","Troglodytes_aedon","5440177.15518729","25719848.0149152","3449853.26150217"
"127","Dendroica_dominica","Mniotilta_varia","1928938.51856387","5404732.40195431","1257427.64107827"
"128","Dendroica_dominica","Dendroica_pinus","1928938.51856387","2077585.70678404","1122778.02155849"
"129","Dendroica_dominica","Protonotaria_citrea","1928938.51856387","2227814.6688456","1647857.95101454"
"130","Protonotaria_citrea","Mniotilta_varia","2227814.6688456","5404732.40195431","1281706.67464791"
"131","Protonotaria_citrea","Dendroica_pinus","2227814.6688456","2077585.70678404","998296.676059232"
"132","Protonotaria_citrea","Dendroica_dominica","2227814.6688456","1928938.51856387","1647857.95101454"
"133","Gymnorhinus_cyanocephalus","Pica_pica","1284018.96817758","39269504.082777","984190.752933335"
"134","Parus_hudsonicus","Parus_atricapillus","7194207.20469763","9100820.00014834","4159703.64489123"
"135","Selasphorus_platycercus","Archilochus_alexandri","696941.808012465","2399358.5723709","359675.417679704"
"136","Amphispiza_bilineata","Spizella_atrogularis","2452623.02669972","804989.10012114","589423.514153132"
"137","Amphispiza_bilineata","Aimophila_ruficeps","2452623.02669972","1184960.36958177","556423.305688676"
"138","Aimophila_ruficeps","Spizella_atrogularis","1184960.36958177","804989.10012114","421769.9740785"
"139","Setophaga_ruticilla","Dendroica_caerulescens","7468329.47625163","1147825.66562745","1144074.12078978"
"140","Setophaga_ruticilla","Wilsonia_canadensis","7468329.47625163","2778071.5093701","2255311.30533657"
"141","Setophaga_ruticilla","Dendroica_magnolia","7468329.47625163","3723833.14858862","2901275.60697863"
