SubsetSppID,AOU,CommonName,Route Expected,MeanN,logN,MeanLogN,AbundClass,Mass(g),logMass,66-04Trend,TrConf,NumRoutes2002,Brange_Area_km2,log_Brange_Area,Mean_Rel_Im,new_Im,Num_routes,migclass,migclass1,BiomeH,BiomeH_noMex,NumBiomes,OMI,Tol,1yr Prop,5yr Prop,10yr Prop,Foraging,Trophic Group,,,
1,2881,Gray Partridge,168,2.133024691,0.328995883,0.254741618,Low,398,2.599883072,0.1,Y,55,2759873.633,6.440889197,0.25361,0.25028,45,resid,resid,1.603420969,1.603420969,15,3.620746627,0.416770198,0.119,0.244,0.304,ground glean,granivore,,0.74639,0.74972
2,2882,Chukar,52,3.465708479,0.539792029,0.278596548,Low,619,2.791690649,0.4,R,28,970397.7406,5.986949777,0.30156,0.25264,22,resid,resid,1.944955946,1.944955946,16,9.791359851,0.908859864,0.058,0.173,0.212,ground glean,granivore,,0.69844,0.74736
3,2890,Northern Bobwhite,406,14.88358498,1.172707551,0.841676115,High,178,2.250420002,-3,Y,828,4555640.398,6.658549435,0.4908,0.47241,676,resid,resid,2.214514333,1.850280247,22,2.886976375,0.702806355,0.648,0.791,0.869,ground glean,herbivore,,0.5092,0.52759
4,2920,Mountain Quail,36,6.662907762,0.823663801,0.589844262,Med,233,2.367355921,0.8,Y,54,345649.6889,5.53863617,0.46257,0.46172,44,resid,resid,2.323288573,2.323288573,16,8.127888497,0.544837506,0.25,0.444,0.444,ground glean,granivore,,0.53743,0.53828
5,2930,Scaled Quail,31,7.64021879,0.883105795,0.614480339,Med,191,2.281033367,-1.2,B,73,1415876.881,6.15102549,0.45806,0.44998,64,resid,resid,1.997942824,1.945435406,21,9.488421192,0.289682163,0.677,0.806,0.839,ground glean,granivore,,0.54194,0.55002
6,2940,California Quail,86,10.27866603,1.011936755,0.629985016,High,176,2.245512668,1.2,B,163,1269589.876,6.10366345,0.49305,0.47175,127,resid,resid,2.587958656,2.541334047,21,3.286222762,0.596121595,0.5,0.64,0.721,ground glean,granivore,,0.50695,0.52825
7,2950,Gambel's Quail,25,23.66203563,1.374052104,0.989622615,High,170,2.230448921,-0.1,B,54,544155.5444,5.735723059,0.47947,0.43802,48,resid,resid,2.196819172,2.041258803,16,12.21831011,0.429845498,0.8,0.84,0.84,ground glean,granivore,,0.52053,0.56198
9,2970,Blue Grouse,85,2.140771637,0.330570342,0.143282813,Low,1188,3.074816441,-2.5,Y,44,2095889.555,6.321368393,0.50549,0.49351,16,resid,resid,2.421486754,2.421486754,21,7.879538616,1.197330758,0.059,0.129,0.247,ground glean,herbivore,,0.49451,0.50649
10,2980,Spruce Grouse,107,1.257575758,0.099534157,0.0180618,Low,466.75,2.669084327,,,4,7552345.148,6.878081829,0.01471,0.11268,1,resid,resid,1.514806905,1.514806905,20,4.65444245,0.532865024,0.009,0.019,0.065,ground glean,herbivore,,0.98529,0.88732
11,3000,Ruffed Grouse,375,1.808183643,0.257242536,0.146772591,Low,621,2.7930916,-2.4,Y,136,7998834.402,6.903026706,0.50719,0.51423,42,resid,resid,1.903814791,1.903814791,25,2.395579591,0.501710523,0.077,0.229,0.403,ground glean,omnivore,,0.49281,0.48577
12,3010,Willow Ptarmigan,33,6.587576313,0.818725659,0.35794756,Med,601,2.778874472,,,9,6413898.829,6.807122105,0.34183,0.38075,6,resid,resid,1.711222439,1.711222439,13,10.46468179,0.281504651,0.061,0.152,0.182,ground glean,herbivore,,0.65817,0.61925
13,3020,Rock Ptarmigan,20,3.341666667,0.523963127,0.138566224,Low,422,2.625312451,,,1,4605717.817,6.663297326,,0,,short,migrant,1.562906537,1.562906537,13,15.53181879,0.783891053,0,0,0,ground glean,herbivore,,1,1
14,3040,White-tailed Ptarmigan,40,,,,,344.5,2.537189226,,,,1628437.13,6.211770996,,,,resid,resid,2.055968264,2.055968264,18,,,0,0,0,ground glean,herbivore,,1,1
15,3050,Greater Prairie-Chicken,19,7.266713352,0.861338029,0.532548699,Low,892,2.950364854,-6.1,Y,17,414947.1353,5.617992771,0.17311,0.19817,11,resid,resid,0.284174807,0.284174807,3,1.527539696,0.112068416,0.105,0.158,0.263,ground glean,granivore,,0.82689,0.80183
16,3070,Lesser Prairie-Chicken,12,3.211111111,0.506655333,0.39877072,Low,756.25,2.878665388,,,3,82032.33613,4.91398508,0.02174,0.10974,1,resid,resid,0.462420047,0.462420047,3,4.560564869,0.13402763,0.083,0.083,0.167,ground glean,insectivore,,0.97826,0.89026
17,3080,Sharp-tailed Grouse,135,2.733097643,0.436655148,0.287167052,Low,953,2.979092901,-0.7,Y,50,6054169.826,6.782054599,0.34835,0.26268,25,resid,resid,1.656673944,1.656673944,20,4.550534332,0.240486577,0.03,0.156,0.2,ground glean,herbivore,,0.65165,0.73732
18,3090,Sage Grouse,86,5.248550725,0.720039399,0.417450369,Med,3190,3.503790683,1,Y,17,1407624.226,6.148486733,0.15441,0.26828,8,resid,resid,1.854890839,1.854890839,13,9.10944503,0.616075687,0.012,0.116,0.198,ground glean,herbivore,,0.84559,0.73172
19,3091,Ring-necked Pheasant,383,10.79875181,1.03337356,0.592548193,High,1317,3.119585775,-0.9,B,588,4490726.911,6.652316646,0.42591,0.41841,443,resid,resid,1.916018795,1.912985224,23,0.974897295,0.639370212,0.452,0.629,0.679,ground glean,omnivore,,0.57409,0.58159
20,3100,Wild Turkey,419,2.532703769,0.403584397,0.248912738,Low,7400,3.86923172,13.6,Y,532,3999691.455,6.60202649,0.28022,0.27198,292,resid,resid,2.069788291,2.013992166,34,0.4952501,1.657639185,0.305,0.625,0.699,ground glean,omnivore,,0.71978,0.72802
22,3120,Band-tailed Pigeon,103,5.4116036,0.733325977,0.478096518,Med,365.25,2.562590225,-2,B,83,3312530.759,6.52015992,0.36326,0.37216,58,neotrop,migrant,3.316608991,2.923856238,29,5.645513474,0.841919416,0.204,0.437,0.485,foliage glean,granivore,,0.63674,0.62784
24,3131,Rock Dove,799,10.94572001,1.039244335,0.70909603,High,369,2.567026366,-0.4,Y,1050,12682549.16,7.103206554,0.18728,0.18304,940,resid,resid,3.099669502,2.701015175,40,0.32761319,0.974153451,0.479,0.688,0.771,ground glean,granivore,,0.81272,0.81696
25,3160,Mourning Dove,802,29.18252171,1.465122817,1.233333738,High,123,2.089905111,-0.4,Y,2301,11119866.04,7.046099555,0.58965,0.58044,2080,short,migrant,2.768613903,2.577663428,38,0.684421295,1.491715815,0.938,0.969,0.976,ground glean,granivore,,0.41035,0.41956
27,3190,White-winged Dove,29,20.22272487,1.305839673,0.615546265,High,153,2.184691431,1.4,B,89,1246992.78,6.095863939,0.37397,0.3572,77,short,migrant,2.581975298,2.295834403,26,14.17889902,0.977561372,0.586,0.69,0.724,ground glean,granivore,,0.62603,0.6428
28,3200,Common Ground-Dove,73,4.870084302,0.687536479,0.456128659,Med,30,1.477121255,-1.1,Y,129,5828511.013,6.765557621,0.41177,0.44723,77,resid,resid,3.357570974,2.390807474,26,9.453513421,0.197888061,0.548,0.726,0.753,ground glean,granivore,,0.58823,0.55277
29,3210,Inca Dove,38,3.792933674,0.578975248,0.339819609,Low,48,1.681241237,2.8,Y,62,2933386.819,6.467369336,0.28208,0.34579,46,resid,resid,3.094427519,2.409340977,27,7.522516129,0.253162027,0.316,0.553,0.605,ground glean,granivore,,0.71792,0.65421
32,3850,Greater Roadrunner,79,1.930344701,0.285634868,0.158461089,Low,376,2.575187845,0.8,Y,99,2932531.915,6.467242747,0.67094,0.60233,49,resid,resid,2.747695381,2.641559632,31,6.085618212,0.879396299,0.405,0.582,0.684,ground glean,insectivore,,0.32906,0.39767
34,3870,Yellow-billed Cuckoo,526,4.89375893,0.689642572,0.485887634,Med,64,1.806179974,-1.7,Y,869,5271675.617,6.721948679,0.58417,0.58294,703,neotrop,migrant,2.081148427,1.81948979,27,3.178531019,0.851683359,0.546,0.768,0.838,foliage glean,insectivore,,0.41583,0.41706
35,3880,Black-billed Cuckoo,505,1.873488029,0.272650923,0.160241985,Low,51,1.707570176,-1.5,Y,204,4935972.17,6.693372702,0.53562,0.50481,83,neotrop,migrant,1.158132567,1.158132567,13,1.518615149,0.490991142,0.156,0.394,0.539,foliage glean,insectivore,,0.46438,0.49519
37,3930,Hairy Woodpecker,776,1.694036367,0.228922729,0.148251049,Low,66.25,1.821185883,4.4,Y,771,13263247.05,7.122649859,0.49957,0.51088,335,resid,resid,2.565036793,2.464467262,42,0.358554765,0.919225508,0.314,0.625,0.714,bark glean,insectivore,,0.50043,0.48912
38,3940,Downy Woodpecker,801,2.649490545,0.423162374,0.300969142,Low,27,1.431363764,0,B,1298,12767509.4,7.106106186,0.56447,0.57142,795,resid,resid,2.397039525,2.397039525,41,1.186920258,1.503556922,0.588,0.788,0.841,bark glean,insectivore,,0.43553,0.42858
39,3950,Red-cockaded Woodpecker,91,2.08452381,0.31900686,0.189248095,Low,44,1.643452676,-1.5,Y,12,533464.6926,5.727105681,0.14502,0.24643,4,resid,resid,0.869960256,0.869960256,6,9.507999293,0.172206004,0.022,0.033,0.044,bark glean,insectivore,,0.85498,0.75357
40,3960,Ladder-backed Woodpecker,42,2.534492618,0.403891031,0.277458814,Low,30,1.477121255,-1.2,Y,108,2820649.277,6.450349089,0.58688,0.56548,67,resid,resid,2.963120459,2.337639526,29,7.53688505,0.473025534,0.643,0.857,0.881,bark glean,insectivore,,0.41312,0.43452
41,3970,Nuttall's Woodpecker,13,4.979115792,0.697152226,0.524824786,Med,38,1.579783597,0.4,B,37,183760.6632,5.26425255,0.56314,0.5596,29,resid,resid,1.887373028,1.887373028,13,5.078312968,0.170649942,0.692,0.769,0.769,bark glean,insectivore,,0.43686,0.4404
43,3990,White-headed Woodpecker,48,2.063803855,0.314668419,0.195288488,Low,61.25,1.787106093,2,Y,33,498873.2932,5.697990255,0.70877,0.50724,15,resid,resid,2.265222856,2.265222856,16,7.494403022,0.894721724,0.104,0.167,0.229,bark glean,insectivore,,0.29123,0.49276
44,4000,Black-backed Woodpecker,194,1.397993827,0.145505254,0.07237655,Low,69.5,1.841984805,0.7,R,20,6743238.404,6.828868514,0.19541,0.27307,8,resid,resid,1.791964324,1.791964324,25,2.115381791,0.355675101,0.026,0.072,0.082,bark glean,insectivore,,0.80459,0.72693
45,4010,Three-toed Woodpecker,131,1.492487286,0.17391064,0.094320827,Low,65.75,1.817895757,20.9,R,24,7861855.648,6.895525065,0.38165,0.40105,19,resid,resid,1.754780754,1.754780754,25,7.21570151,0.885092326,0.053,0.107,0.183,bark glean,insectivore,,0.61835,0.59895
46,4020,Yellow-bellied Sapsucker,207,3.563876593,0.551922657,0.338560039,Low,50,1.698970004,0.5,Y,292,4455324.845,6.648879375,0.52647,0.52656,271,short,migrant,1.116363471,1.116363471,9,2.704199742,0.126316345,0.502,0.715,0.758,bark glean,insectivore,,0.47353,0.47344
47,4021,Red-naped Sapsucker,99,2.434665239,0.386439255,0.250708912,Low,46,1.662757832,0.8,Y,141,2072181.548,6.316427802,0.57344,0.58964,87,short,migrant,2.113086621,2.113086621,19,7.244018639,0.867756653,0.293,0.394,0.465,bark glean,insectivore,,0.42656,0.41036
48,4030,Red-breasted Sapsucker,53,3.22526048,0.508564795,0.295659931,Med,49,1.69019608,-1.3,Y,83,996842.3843,5.998626495,0.50647,0.53521,58,short,migrant,2.507873937,2.507873937,21,6.892149875,1.743808508,0.415,0.509,0.679,bark glean,insectivore,,0.49353,0.46479
49,4040,Williamson's Sapsucker,41,1.95125831,0.290314766,0.200045079,Low,48,1.681241237,0.4,Y,34,648404.0102,5.811845692,0.46754,0.4938,28,short,migrant,2.137511085,2.137511085,18,8.332553558,0.536981654,0.073,0.22,0.244,bark glean,insectivore,,0.53246,0.5062
50,4050,Pileated Woodpecker,532,2.22259514,0.34686036,0.239192278,Low,287.5,2.458637849,1.8,Y,870,5913479.221,6.771843075,0.53797,0.53039,463,resid,resid,1.895900425,1.895900425,26,1.617632656,1.498109736,0.556,0.812,0.874,bark glean,insectivore,,0.46203,0.46961
51,4060,Red-headed Woodpecker,534,2.417774244,0.383415747,0.254770559,Low,72,1.857332496,-2.7,Y,497,5190665.704,6.71522306,0.40738,0.42544,273,short,migrant,1.533307236,1.533307236,19,1.64917007,0.829656281,0.328,0.554,0.635,bark glean,omnivore,,0.59262,0.57456
52,4070,Acorn Woodpecker,29,18.40250421,1.264876926,0.817535782,High,83,1.919078092,0.8,B,79,1467927.015,6.166704463,0.49711,0.47065,56,resid,resid,3.359245326,2.643067205,27,5.666919753,0.292748223,0.483,0.552,0.552,bark glean,omnivore,,0.50289,0.52935
53,4080,Lewis's Woodpecker,130,2.048865678,0.311513487,0.150969127,Low,116,2.064457989,-1.5,Y,23,2072674.083,6.316531017,0.17048,0.17965,7,short,migrant,2.393822329,2.393822329,25,5.541244932,0.76415724,0.046,0.138,0.2,hawks,insectivore,,0.82952,0.82035
54,4090,Red-bellied Woodpecker,404,7.951178219,0.900431488,0.713607856,Med,67,1.826074803,0.7,B,1067,2988465.042,6.47544818,0.57229,0.57408,897,resid,resid,1.287668414,1.287668414,11,4.067896708,1.085595992,0.901,0.96,0.968,bark glean,insectivore,,0.42771,0.42592
55,4100,Golden-fronted Woodpecker,10,8.108376363,0.908933899,0.5858432,Med,81.5,1.911157609,-1.1,B,43,1396952.101,6.145181515,0.59302,0.5848,38,resid,resid,2.847843021,1.922978609,13,9.783140474,0.205272787,0.7,0.7,0.7,bark glean,insectivore,,0.40698,0.4152
56,4110,Gila Woodpecker,12,14.81201637,1.170614183,0.739744854,High,65.25,1.814580516,-1.5,B,19,565715.4906,5.752598071,0.45141,0.39143,15,resid,resid,1.780718326,1.212832643,15,12.8886064,0.30779161,0.667,0.75,0.833,bark glean,omnivore,,0.54859,0.60857
57,4120,Northern Flicker,800,3.400093648,0.531490879,0.387340327,Low,132.17,2.12113289,-2,Y,1225,14922329.91,7.173836637,0.54349,0.5592,783,resid,resid,2.540878333,2.417382871,43,0.167068911,1.845641156,0.706,0.913,0.939,ground glean,insectivore,,0.45651,0.4408
59,4220,Black Swift,40,5.224545455,0.718048512,0.4891355,Low,46,1.662757832,-7,Y,6,1275406.253,6.105648542,0.09526,0.13802,6,neotrop,migrant,3.252691153,2.45431365,23,7.951771324,0.798051067,0.025,0.15,0.3,aerial foraging,insectivore,,0.90474,0.86198
60,4230,Chimney Swift,578,8.994389871,0.953971709,0.715075059,Med,24,1.380211242,-1.6,B,1087,5834548.743,6.766007272,0.29981,0.28195,891,neotrop,migrant,1.514315065,1.514315065,17,2.398865991,0.983107587,0.723,0.869,0.901,aerial foraging,insectivore,,0.70019,0.71805
61,4240,Vaux's Swift,82,3.329913558,0.52243296,0.395288282,Low,17,1.230448921,2.2,Y,36,2221973.354,6.346738847,0.25157,0.25222,32,neotrop,migrant,3.186812187,2.364573727,25,5.462253569,1.228910191,0.122,0.341,0.415,aerial foraging,insectivore,,0.74843,0.74778
62,4250,White-throated Swift,145,6.657590776,0.823317097,0.467010958,Med,32,1.505149978,-1.7,Y,83,3400703.212,6.531568732,0.21344,0.2443,49,neotrop,migrant,3.059086792,2.672351553,29,6.658332956,1.041328137,0.131,0.214,0.29,aerial foraging,insectivore,,0.78656,0.7557
65,4280,Ruby-throated Hummingbird,561,1.573553055,0.19688139,0.139480062,Low,3.5,0.544068044,2.4,Y,574,4930336.576,6.692876568,0.50271,0.53634,263,neotrop,migrant,1.365687611,1.365687611,15,1.548242336,0.511032705,0.353,0.697,0.784,hover/glean,nectarivore,,0.49729,0.46366
66,4290,Black-chinned Hummingbird,112,1.888677812,0.276157878,0.190699075,Low,3.5,0.544068044,1.2,Y,78,2368298.302,6.374436404,0.58887,0.54734,33,neotrop,migrant,2.755270205,2.755270205,31,4.693542545,1.162245665,0.196,0.348,0.384,hover/glean,nectarivore,,0.41113,0.45266
68,4310,Anna's Hummingbird,42,2.94155209,0.468576543,0.259076272,Low,4.25,0.62838893,1.5,Y,66,492870.406,5.692732742,0.51049,0.52362,37,resid,resid,2.476024191,2.476024191,22,5.360472648,0.402562632,0.19,0.405,0.548,hover/glean,nectarivore,,0.48951,0.47638
69,4320,Broad-tailed Hummingbird,26,6.68935097,0.825383983,0.510813942,Med,4,0.602059991,-0.6,B,119,696133.3198,5.842692421,0.59843,0.59038,82,neotrop,migrant,2.910825318,2.504271814,20,13.97683455,0.702572913,0.423,0.615,0.692,hover/glean,nectarivore,,0.40157,0.40962
70,4330,Rufous Hummingbird,81,2.858894362,0.456198108,0.265941065,Low,4,0.602059991,-2.3,B,93,1521468.459,6.182262953,0.54157,0.55098,75,neotrop,migrant,2.259237611,2.259237611,16,6.68509845,1.419376303,0.346,0.519,0.63,hover/glean,nectarivore,,0.45843,0.44902
72,4360,Calliope Hummingbird,82,1.646692112,0.216612405,0.107376977,Low,2.75,0.439332694,0.6,Y,40,1200652.885,6.079417469,0.52575,0.48826,22,neotrop,migrant,2.141763029,2.141763029,20,5.348712212,0.515851638,0.159,0.244,0.341,hover/glean,nectarivore,,0.47425,0.51174
78,4430,Scissor-tailed Flycatcher,59,16.06452577,1.20586791,0.840021359,High,43,1.633468456,-0.3,Y,192,1446335.405,6.160269017,0.57605,0.54631,187,neotrop,migrant,1.923619888,1.923619888,16,5.660724618,0.407786415,0.576,0.746,0.797,hawks,insectivore,,0.42395,0.45369
79,4440,Eastern Kingbird,687,5.120066566,0.709275607,0.505392872,Med,44,1.643452676,-0.9,B,1399,9104097.949,6.959236922,0.51549,0.5086,1073,neotrop,migrant,1.973704049,1.973704049,26,0.598506378,0.650771716,0.712,0.862,0.904,hawks,insectivore,,0.48451,0.4914
80,4450,Gray Kingbird,24,5.355952381,0.728836707,0.352231093,Low,44,1.643452676,,,5,577234.2018,5.761352056,0.52872,0.44381,4,neotrop,migrant,1.792636841,0.735779298,5,17.5206967,0.489194947,0.042,0.042,0.083,hawks,insectivore,,0.47128,0.55619
84,4470,Western Kingbird,233,9.774968009,0.990115345,0.622147841,High,40,1.602059991,0.5,B,591,5061400.383,6.704270694,0.51125,0.49594,507,neotrop,migrant,2.479386109,2.442554149,34,3.061968561,1.185542459,0.588,0.712,0.773,hawks,insectivore,,0.48875,0.50406
85,4480,Cassin's Kingbird,21,6.04279499,0.78123786,0.502026894,Med,46,1.662757832,-0.1,B,72,1446281.142,6.160252724,0.46018,0.45769,62,neotrop,migrant,2.617331994,2.247050155,26,8.503639944,0.203620691,0.571,0.619,0.667,hawks,insectivore,,0.53982,0.54231
88,4520,Great Crested Flycatcher,555,5.001592789,0.69910833,0.511674,Med,34,1.531478917,0,B,1182,5131591.762,6.710252099,0.56424,0.56675,875,neotrop,migrant,1.427602576,1.426727887,14,2.521659606,1.647426735,0.8,0.944,0.973,hawks,insectivore,,0.43576,0.43325
89,4530,Brown-crested Flycatcher,16,9.930934066,0.996990099,0.495799,Med,44,1.643452676,4.4,B,31,10404723.26,7.017230534,0.57119,0.55988,26,short,migrant,3.198621979,2.225451432,24,8.463285902,0.240007423,0.5,0.563,0.688,hover/glean,insectivore,,0.42881,0.44012
90,4540,Ash-throated Flycatcher,133,10.15031589,1.006479558,0.66376695,High,27,1.431363764,1,Y,279,3500603.462,6.544142918,0.56115,0.55288,237,neotrop,migrant,2.900489805,2.810696262,31,6.088753297,1.095834464,0.556,0.617,0.669,hover/glean,insectivore,,0.43885,0.44712
92,4560,Eastern Phoebe,516,4.306813328,0.634156048,0.471892273,Med,20,1.301029996,0.9,Y,1155,6231356.703,6.794582612,0.55759,0.54195,817,short,migrant,1.386842264,1.386842264,14,1.111370966,0.245614629,0.814,0.901,0.932,hawks,insectivore,,0.44241,0.45805
93,4570,Say's Phoebe,223,2.472359781,0.39311167,0.250129431,Low,21,1.322219295,1.6,Y,276,7184011.987,6.856367048,0.52942,0.53468,173,short,migrant,2.69253112,2.657511709,35,6.49578619,0.827618262,0.345,0.511,0.583,hawks,insectivore,,0.47058,0.46532
94,4580,Black Phoebe,35,2.804510749,0.447857109,0.271504034,Low,19,1.278753601,2,Y,73,2974843.545,6.47346413,0.5026,0.50088,44,resid,resid,3.129663278,2.350429717,28,4.657765658,0.23356186,0.343,0.514,0.629,hawks,insectivore,,0.4974,0.49912
95,4590,Olive-sided Flycatcher,401,2.73222073,0.436515782,0.288280899,Low,32,1.505149978,-3.5,B,298,9975822.308,6.998948705,0.51731,0.48803,180,neotrop,migrant,2.489842395,2.489842395,33,3.51140411,1.20014417,0.167,0.319,0.397,hawks,insectivore,,0.48269,0.51197
97,4610,Eastern Wood-Pewee,524,4.567775431,0.659704744,0.502833378,Med,14,1.146128036,-1.8,B,1104,4075987.449,6.610232838,0.56607,0.56554,844,neotrop,migrant,1.125181688,1.125181688,13,1.699814236,0.498172414,0.798,0.937,0.968,hawks,insectivore,,0.43393,0.43446
98,4620,Western Wood-Pewee,262,6.385705239,0.805208868,0.491399717,Med,13,1.113943352,-1.2,B,484,6926205.142,6.84049535,0.53636,0.53664,341,neotrop,migrant,2.967731292,2.780800097,35,4.228258161,1.401444226,0.492,0.687,0.752,hawks,insectivore,,0.46364,0.46336
99,4630,Yellow-bellied Flycatcher,138,3.92424141,0.593755716,0.31372123,Med,12,1.079181246,1.7,Y,74,5311773.423,6.725239542,0.49454,0.45514,47,neotrop,migrant,1.009909033,1.009909033,10,3.398708046,0.083550662,0.116,0.203,0.239,hawks,insectivore,,0.50546,0.54486
100,4640,Cordilleran Flycatcher,99,3.81930537,0.581984384,0.364540936,Med,10,1,-0.6,B,83,2349995.629,6.371067055,0.56061,0.55782,58,neotrop,migrant,2.633463637,2.357489571,22,9.011460913,1.120024686,0.182,0.273,0.343,hawks,insectivore,,0.43939,0.44218
101,4641,Pacific-slope Flycatcher,59,10.17031259,1.007334301,0.642453243,High,10,1,-0.6,B,139,863571.5946,5.936298349,0.59892,0.5935,104,neotrop,migrant,2.339231852,2.339231852,20,8.694437869,1.455547151,0.593,0.746,0.814,hawks,insectivore,,0.40108,0.4065
